web-scraper-order,web-scraper-start-url,page,page-href,question,underline
"1708214189-163","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","3. 停車
 としゃ
 ていしゃ
 ていぐるま
 とぐるま",""
"1708214189-164","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","4. 禁止
 かんし
 けんし
 きんし
 こし",""
"1708214189-165","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","平等"
"1708214189-166","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","各国"
"1708214189-167","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","代表"
"1708214189-168","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","出席"
"1708214189-169","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","家庭"
"1708214189-170","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女平等をテーマにした会議が開かれ、各国の代表が出席して、家庭や職場で起こっている問題を話し合った。","職場"
"1708214189-171","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","5. 平等
 ひょうどう
 へいどう
 びょうどう
 へいとう",""
"1708214189-172","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","6. 各国
 かくくに
 かっこく
 かこく
 かっくに",""
"1708214189-173","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","7. 出席
 しゅっせき
 しゅつせき
 しゅっさき
 しゅつさき",""
"1708214189-175","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","8. 家庭
 やてい
 かにわ
 やにわ
 かてい",""
"1708214189-176","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","9. 代表
 かいひょう
 かいびょう
 だいびょう
 だいひょう",""
"1708214189-177","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","10. 職場
 しょくば
 しきば
 しょくじょう
 しきしょう",""
"1708214189-178","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","Answer Key:",""
"1708214189-179","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","Question 1: 2 (放送局 => ほうそうきょく)
Question 2: 1 (正面 => しょうめん)
Question 3: 2 (停車 => ていしゃ)
Question 4: 3 (禁止 => きんし)
Question 5: 3 (平等 => びょうどう)
Question 6: 2 (各国 => かっこく)
Question 7: 1 (出席 => しゅっせき)
Question 8: 4 (家庭 => かてい)
Question 9: 4 (代表 => だいひょう)
Question 10: 1 (職場 => しょくば)",""
"1708214189-180","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","New words:",""
"1708214189-181","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","放送局: broadcasting office",""
"1708214189-182","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","正面: front, frontage, facade",""
"1708214189-183","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","駐車 (chuusha): parking (e.g. car)",""
"1708214189-184","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","停車: stopping (e.g. train)",""
"1708214189-185","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","禁止: prohibition, ban, inhibition",""
"1708214189-186","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","男女 (danjo): man and woman, men and women",""
"1708214189-187","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","平等 (byoudou): equality, impartiality",""
"1708214189-188","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","テーマ: topic, theme",""
"1708214189-189","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","会議 (kaigi): meeting, conference",""
"1708214189-190","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","各国: each nation, many countries",""
"1708214189-191","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","代表: representative, delegation",""
"1708214189-192","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","出席: attendance, presence",""
"1708214189-193","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","家庭: home, family, household",""
"1708214189-194","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 10","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-10/","職場: one’s post, place of work, workplace",""
"1708214194-195","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","食料をほぞんするしゅだんとしては、塩につけたり、かんづめにしたり、かんそうさせたりする方法があります。","ほぞん"
"1708214194-196","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","食料をほぞんするしゅだんとしては、塩につけたり、かんづめにしたり、かんそうさせたりする方法があります。","しゅだん"
"1708214194-197","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","食料をほぞんするしゅだんとしては、塩につけたり、かんづめにしたり、かんそうさせたりする方法があります。","かんづめ"
"1708214194-198","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","1. ほぞん
 保守
 保在
 保蔵
 保存",""
"1708214194-199","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","2. しゅだん
 手段
 取担
 取段
 手担",""
"1708214194-200","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","3. かんづめ
 瓶詰
 缶詰
 瓶結
 缶結",""
"1708214194-201","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","4. かんそう
 干操
 乾操
 干燥
 乾燥",""
"1708214194-202","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","強盗に鋭いナイフで腕を刺された。","強盗"
"1708214194-203","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","強盗に鋭いナイフで腕を刺された。","鋭い"
"1708214194-204","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","強盗に鋭いナイフで腕を刺された。","腕"
"1708214194-205","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","強盗に鋭いナイフで腕を刺された。","刺された"
"1708214194-206","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","5. 強盗
 きょとう
 ごうとう
 ごと
 きょうとう",""
"1708214194-207","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","6. 鋭い
 にぶい
 しつこい
 するどい
 ぬくい",""
"1708214194-208","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","7. 腕
 うで
 ので
 こし
 はら",""
"1708214194-210","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","8. 刺された
 とされた
 さされた
 しされた
 おされた",""
"1708214194-211","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","ガラスのはへんでゆびにけがをして、ほうたいをまいてもらった。","はへん"
"1708214194-212","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","ガラスのはへんでゆびにけがをして、ほうたいをまいてもらった。","けが"
"1708214194-213","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","9. はへん
 皮片
 彼片
 石片
 破片",""
"1708214194-214","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","10. けが
 怪我
 毛我
 怪蛾
 毛蛾",""
"1708214194-215","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","Answer Key:",""
"1708214194-216","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","Question 1: 4 (ほぞん => 保存)
Question 2: 1 (しゅだん => 手段)
Question 3: 2 (かんづめ => 缶詰)
Question 4: 4 (かんそう => 乾燥)
Question 5: 2 (強盗 => ごうとう)
Question 6: 3 (鋭い => するどい)
Question 7: 1 (腕 => うで)
Question 8: 2 (刺された => さされた)
Question 9: 4 (はへん => 破片)
Question 10: 1 (けが => 怪我)",""
"1708214194-217","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","New words:",""
"1708214194-218","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","食料 (shokuryou): food",""
"1708214194-219","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","ほぞん: preservation, conservation, storage",""
"1708214194-220","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","しゅだん: means, way, measure",""
"1708214194-221","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","塩 (shio): salt",""
"1708214194-222","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","かんづめ: packing (in cans), tin can",""
"1708214194-223","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","かんそう: dry, dehydrated",""
"1708214194-224","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","方法 (houhou): method, way, means",""
"1708214194-225","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","強盗: robber, robbery, burglary",""
"1708214194-226","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","鋭い: pointed, sharp",""
"1708214194-227","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","腕: arm, skill",""
"1708214194-228","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","刺す (sasu): to pierce, to stab, to thrust",""
"1708214194-229","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","ガラス: glass",""
"1708214194-230","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","はへん: fragment, broken piece",""
"1708214194-231","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","指 (yubi): finger, toe",""
"1708214194-232","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","けが: injury, hurt",""
"1708214194-233","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","包帯 (houtai): bandage",""
"1708214194-234","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 09","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-9/","巻く (maku): to coil, to roll",""
"1708214200-235","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","機械のせいのうが高度化してくると、人間はそれらを使いこなすためにたえず勉強を続けなければならず、ますますいそがしくなっていきます。人間の生活を楽にするために発明されたはずの機械のせいで、ぎゃくにいそがしくなるというのは、実にひにくな話です。","せいのう"
"1708214200-236","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","機械のせいのうが高度化してくると、人間はそれらを使いこなすためにたえず勉強を続けなければならず、ますますいそがしくなっていきます。人間の生活を楽にするために発明されたはずの機械のせいで、ぎゃくにいそがしくなるというのは、実にひにくな話です。","いそがしく"
"1708214200-237","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","機械のせいのうが高度化してくると、人間はそれらを使いこなすためにたえず勉強を続けなければならず、ますますいそがしくなっていきます。人間の生活を楽にするために発明されたはずの機械のせいで、ぎゃくにいそがしくなるというのは、実にひにくな話です。","ぎゃくに"
"1708214200-238","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","機械のせいのうが高度化してくると、人間はそれらを使いこなすためにたえず勉強を続けなければならず、ますますいそがしくなっていきます。人間の生活を楽にするために発明されたはずの機械のせいで、ぎゃくにいそがしくなるというのは、実にひにくな話です。","ひにく"
"1708214200-239","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","1. せいのう
 性能
 生能
 生熊
 性熊",""
"1708214200-240","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","2. たえず
 耐えず
 堪えず
 絶えず
 汰えず",""
"1708214200-241","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","3. いそがしく
 芯しく
 心しく
 亡しく
 忙しく",""
"1708214200-243","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","4. ぎゃくに
 却に
 虐に
 逆に
 尺に",""
"1708214200-245","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","5. ひにく
 被肉
 皮肉
 病肉
 彼肉",""
"1708214200-246","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","大きい地震の際には、まず、被害に関する確かな情報を得ることが大切だ。","地震"
"1708214200-247","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","大きい地震の際には、まず、被害に関する確かな情報を得ることが大切だ。","際"
"1708214200-248","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","大きい地震の際には、まず、被害に関する確かな情報を得ることが大切だ。","被害"
"1708214200-249","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","大きい地震の際には、まず、被害に関する確かな情報を得ることが大切だ。","確かな情報"
"1708214200-250","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","6. 地震
 じしん
 ぢしん
 ししん
 でしん",""
"1708214200-251","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","7. 際
 とき
 せい
 さい
 あいだ",""
"1708214200-253","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","8. 被害
 びがい
 はがい
 ひがい
 へがい",""
"1708214200-254","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","9. 確かな
 さわやか
 たしかな
 ゆたかな
 やわらかな",""
"1708214200-255","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","10. 情報
 じょうほう
 じょほ
 じょうほ
 じょほう",""
"1708214200-256","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","Answer Key:",""
"1708214200-257","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","Question 1: 1 (せいのう => 性能)
Question 2: 3 (たえず => 絶えず)
Question 3: 4 (いそがしく => 忙しく)
Question 4: 3 (ぎゃくに => 逆に)
Question 5: 2 (ひにく => 皮肉)
Question 6: 1 (地震 => じしん)
Question 7: 3 (際 => さい)
Question 8: 3 (被害 => ひがい)
Question 9: 2 (確かな => たしかな)
Question 10: 1 (情報 => じょうほう)",""
"1708214200-258","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","New words:",""
"1708214200-259","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","機械 (kikai): machine, mechanism",""
"1708214200-260","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","せいのう: ability, performance, efficiency",""
"1708214200-261","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 08","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-8/","高度化 (koudoka): to increase speed",""
